"","mode","s_7.mean","p11_7.mean","a_7.mean","s_8.mean","p11_8.mean","a_8.mean","s_9.mean","p11_9.mean","a_9.mean"
"1","Web",-0.388597315436242,5.12418791946309,0.26390067114094,-0.147486624203822,4.95782929936306,0.175584713375796,-0.227049283154122,5.03080017921147,0.239774193548387
"2","F2F",-0.324712460063898,5.13672076677316,0.248914376996805,-0.103192737430168,4.95648673184358,0.160655726256983,-0.182820436507937,5.04467857142857,0.239071428571429
"3","SM",-0.311164082687339,5.14483979328165,0.251140826873385,-0.0953204798628963,4.97007969151671,0.167287917737789,-0.163082975679542,5.04858941344778,0.251145922746781
"4","MM",-0.361312987012987,5.12661623376623,0.255016233766234,-0.140937905468026,4.94155792400371,0.166150139017609,-0.223696907216495,5.03194570446735,0.233201374570447
